AÑO,MUNICIPIO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,DESERCIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,Causas
2019,Algeciras,Huila,5331,88.78,5.69,4.39,7.74,5.52,Sin acceso a computadoras
2019,Aipe,Huila,3736,87.18,4.71,2.44,7.22,6.53,Sin acceso a computadoras
2019,Agrado,Huila,2089,88.89,1.09,1.19,0.99,0.87,Sin acceso a computadoras
2019,Acevedo,Huila,6545,112.1,3.67,2.55,5.4,3.54,Sin acceso a computadoras
2019,Neiva,Huila,71410,95.88,5.09,3.9,7.44,2.94,Sin acceso a computadoras
2019,Unión Panamericana,Chocó,1602,94.32,1.77,2.21,0.91,1.25,Sin acceso a computadoras
2019,Unguía,Chocó,3528,89.23,6.47,4.43,10.0,6.61,Sin acceso a computadoras
2019,Tadó,Chocó,4642,109.18,2.37,2.32,2.93,1.23,Sin acceso a computadoras
2019,Sipí,Chocó,947,75.61,2.84,1.53,6.52,0.0,Sin acceso a computadoras
2019,San José del Palmar,Chocó,1289,79.6,10.12,7.72,12.98,11.63,Sin acceso a computadoras
2019,Riosucio,Chocó,12790,71.56,4.47,4.13,5.66,4.17,Sin acceso a computadoras
2019,Río Quito,Chocó,2186,91.26,4.09,2.04,7.93,4.03,Sin acceso a computadoras
2019,Río Iro,Chocó,1556,93.25,0.43,0.32,0.67,0.83,Sin acceso a computadoras
2019,Nuquí,Chocó,4879,41.22,2.75,1.79,4.42,3.85,Sin acceso a computadoras
2019,Nóvita,Chocó,2311,77.02,2.35,1.91,3.1,2.8,Sin acceso a computadoras
2019,Medio San Juan,Chocó,2775,79.14,0.85,0.55,1.16,0.86,Sin acceso a computadoras
2019,Medio Baudó,Chocó,4549,59.46,5.02,2.44,8.72,3.66,Sin acceso a computadoras
2019,Medio Atrato,Chocó,2781,59.69,5.07,4.19,9.18,4.29,Sin acceso a computadoras
2019,Lloró,Chocó,3012,96.28,0.52,0.44,0.77,1.09,Sin acceso a computadoras
2019,Juradó,Chocó,2038,54.12,5.29,3.31,6.9,3.03,Sin acceso a computadoras
2019,Istmina,Chocó,7774,108.21,3.37,3.46,3.75,1.78,Sin acceso a computadoras
2019,El Litoral del San Juan,Chocó,6879,48.6,3.39,2.97,4.1,4.44,Sin acceso a computadoras
2019,El Carmen de Atrato,Chocó,1937,108.0,2.33,2.14,2.91,0.93,Sin acceso a computadoras
2019,Condoto,Chocó,3191,92.85,3.72,2.67,5.68,1.66,Sin acceso a computadoras
2019,Cértegui,Chocó,1345,77.1,0.6,0.38,0.5,1.48,Sin acceso a computadoras
2019,Carmen del Darien,Chocó,5495,56.14,6.98,7.13,6.83,6.34,Sin acceso a computadoras
2019,El Cantón del San Pablo,Chocó,1630,78.47,0.79,0.52,1.05,0.0,Sin acceso a computadoras
2019,Bojaya,Chocó,3947,89.66,1.23,0.76,1.29,1.01,Sin acceso a computadoras
2019,Bajo Baudó,Chocó,9279,50.17,2.95,2.28,3.71,5.03,Sin acceso a computadoras
2019,Bahía Solano,Chocó,2629,100.11,3.33,3.79,2.1,1.57,Sin acceso a computadoras
2019,Bagadó,Chocó,3413,94.49,1.05,0.76,1.48,0.86,Sin acceso a computadoras
2019,Atrato,Chocó,1519,86.83,4.5,5.97,3.52,1.2,Sin acceso a computadoras
2019,Alto Baudo,Chocó,8294,77.9,1.61,0.89,3.31,0.66,Sin acceso a computadoras
2019,Acandí,Chocó,3556,88.13,2.91,1.78,4.17,3.38,Sin acceso a computadoras
2019,Quibdó,Chocó,32226,103.66,1.81,1.45,2.57,1.88,Sin acceso a computadoras
2019,Zipaquirá,Cundinamarca,25076,93.43,3.5,2.55,4.32,3.67,Sin acceso a computadoras
2019,Zipacón,Cundinamarca,892,80.04,2.27,1.56,2.8,2.68,Sin acceso a computadoras
2019,Yacopí,Cundinamarca,2267,94.4,1.89,1.2,2.04,4.25,Sin acceso a computadoras
2019,Viotá,Cundinamarca,2483,103.46,2.55,2.0,3.14,1.87,Sin acceso a computadoras
2019,Villeta,Cundinamarca,4888,104.15,3.1,1.61,4.6,3.0,Sin acceso a computadoras
2019,Villapinzón,Cundinamarca,3973,104.25,1.19,0.72,1.65,0.82,Sin acceso a computadoras
2019,Villagómez,Cundinamarca,334,108.38,4.52,8.82,1.84,3.85,Sin acceso a computadoras
2019,Vianí,Cundinamarca,802,76.56,2.47,0.7,4.1,6.15,Sin acceso a computadoras
